id,gender,bdate,educ,jobcat,salary,salbegin,jobtime,prevexp,minority
1,m,1952-02-03,15,3,57000,27000,98,144,0
2,m,1958-05-23,16,1,40200,18750,98,36,0
3,f,1929-07-26,12,1,21450,12000,98,381,0
4,f,1947-04-15,8,1,21900,13200,98,190,0
5,m,1955-02-09,15,1,45000,21000,98,138,0
6,m,1958-08-22,15,1,32100,13500,98,67,0
7,m,1956-04-26,15,1,36000,18750,98,114,0
8,f,1966-05-06,12,1,21900,9750,98,0,0
9,f,1946-01-23,15,1,27900,12750,98,115,0
10,f,1946-02-13,12,1,24000,13500,98,244,0
11,f,1950-02-07,16,1,30300,16500,98,143,0
12,m,1966-01-11,8,1,28350,12000,98,26,1
13,m,1960-07-17,15,1,27750,14250,98,34,1
14,f,1949-02-26,15,1,35100,16800,98,137,1
15,m,1962-08-29,12,1,27300,13500,97,66,0
16,m,1964-11-17,12,1,40800,15000,97,24,0
17,m,1962-07-18,15,1,46000,14250,97,48,0
18,m,1956-03-20,16,3,103750,27510,97,70,0
19,m,1962-08-19,12,1,42300,14250,97,103,0
20,f,1940-01-23,12,1,26250,11550,97,48,0
21,f,1963-02-19,16,1,38850,15000,97,17,0
22,m,1940-09-24,12,1,21750,12750,97,315,1
23,f,1965-03-15,15,1,24000,11100,97,75,1
24,f,1933-03-27,12,1,16950,9000,97,124,1
25,f,1942-07-01,15,1,21150,9000,97,171,1
26,m,1966-11-08,15,1,31050,12600,96,14,0
27,m,1954-03-19,19,3,60375,27480,96,96,0
28,m,1963-04-11,15,1,32550,14250,96,43,0
29,m,1944-01-28,19,3,135000,79980,96,199,0
30,m,1961-09-17,15,1,31200,14250,96,54,0
31,m,1964-02-24,12,1,36150,14250,96,83,0
32,m,1954-01-28,19,3,110625,45000,96,120,0
33,m,1961-03-18,15,1,42000,15000,96,68,0
34,m,1949-02-02,19,3,92000,39990,96,175,0
35,m,1961-08-22,17,3,81250,30000,96,18,0
36,f,1963-08-07,8,1,31350,11250,96,52,0
37,m,1954-10-09,12,1,29100,13500,96,113,1
38,m,1962-04-27,15,1,31350,15000,96,49,1
39,m,1960-06-22,16,1,36000,15000,96,46,1
40,f,1933-08-28,15,1,19200,9000,96,23,1
41,f,1961-03-18,12,1,23550,11550,96,52,1
42,m,1960-09-23,15,1,35100,16500,95,90,0
43,m,1964-01-18,12,1,23250,14250,95,46,0
44,m,1963-06-15,8,1,29250,14250,95,50,0
45,m,1938-08-02,12,2,30750,13500,95,307,0
46,f,1940-11-18,15,1,22350,12750,95,165,0
47,f,1938-04-28,12,1,30000,16500,95,228,0
48,m,1947-06-07,12,2,30750,14100,94,240,0
49,m,1958-09-16,15,1,34800,16500,94,93,0
50,m,1960-02-09,16,3,60000,23730,94,59,0
51,m,1962-07-08,12,1,35550,15000,94,48,0
52,m,1963-11-12,15,1,45150,15000,94,40,0
53,m,1954-04-21,18,3,73750,26250,94,56,0
54,m,1931-06-04,12,1,25050,13500,94,444,0
55,m,1960-06-25,12,1,27000,15000,94,120,0
56,m,1962-04-16,15,1,26850,13500,94,5,0
57,m,1963-04-15,15,1,33900,15750,94,78,0
58,f,1964-11-14,15,1,26400,13500,94,3,0
59,m,1961-05-07,15,1,28050,14250,94,36,1
60,m,1959-02-16,12,1,30900,15000,94,102,1
61,m,1964-04-28,8,1,22500,9750,94,36,1
62,m,1962-07-18,16,3,48000,21750,93,22,0
63,m,1961-08-20,17,3,55000,26250,93,32,0
64,m,1963-09-28,16,3,53125,21000,93,48,0
65,m,1964-03-28,8,1,21900,14550,93,41,0
66,m,1962-02-16,19,3,78125,30000,93,7,0
67,m,1964-05-28,16,3,46000,21240,93,35,0
68,m,1963-05-05,16,3,45250,21480,93,36,0
69,m,1960-06-23,16,3,56550,25000,93,34,0
70,m,1962-02-08,15,1,41100,20250,93,27,0
71,m,1948-08-26,17,3,82500,34980,93,207,0
72,f,1964-01-07,16,1,54000,18000,93,11,0
73,f,1968-02-09,12,1,26400,10500,93,0,0
74,f,1933-04-28,15,1,33900,19500,93,192,0
75,f,1965-08-12,15,1,24150,11550,93,0,0
76,f,1967-09-03,15,1,29250,11550,93,11,0
77,f,1968-09-09,12,1,27600,11400,93,6,0
78,f,1968-08-20,12,1,22950,10500,93,10,0
79,f,1962-01-23,16,1,34800,14550,93,8,0
80,f,1961-05-25,16,1,51000,18000,93,22,0
81,f,1968-03-12,12,1,24300,10950,93,5,0
82,f,1947-08-28,12,1,24750,14250,93,193,1
83,f,1967-10-12,12,1,22950,11250,93,0,1
84,f,1967-03-12,8,1,25050,10950,93,8,1
85,m,1962-04-09,15,1,25950,17100,92,42,0
86,m,1961-08-25,15,1,31650,15750,92,64,0
87,m,1959-10-20,12,1,24150,14100,92,130,0
88,m,1962-02-10,19,3,72500,28740,92,10,0
89,m,1961-06-24,19,3,68750,27480,92,8,0
90,f,1938-02-27,8,1,16200,9750,92,0,0
